Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
7.9433E+5	6.9072E+2	2.2475E+3	9.9320E-2
8.9125E+5	6.4667E+2	2.0424E+3	1.0127E-1
1.0000E+6	6.0511E+2	1.8562E+3	1.0327E-1
1.1220E+6	5.6621E+2	1.6889E+3	1.0542E-1
1.2589E+6	5.3046E+2	1.5418E+3	1.0798E-1
1.4125E+6	4.9695E+2	1.4053E+3	1.1043E-1
1.5849E+6	4.6304E+2	1.2740E+3	1.1233E-1
1.7783E+6	4.3351E+2	1.1604E+3	1.1480E-1
1.9953E+6	4.0714E+2	1.0523E+3	1.1680E-1
2.2387E+6	3.9571E+2	9.6147E+2	1.1975E-1
2.5119E+6	3.6475E+2	8.8554E+2	1.2375E-1
2.8184E+6	3.3880E+2	8.0942E+2	1.2691E-1
3.1623E+6	3.1687E+2	7.4031E+2	1.3024E-1
3.5481E+6	2.9604E+2	6.7668E+2	1.3357E-1
3.9811E+6	2.7763E+2	6.1798E+2	1.3687E-1
4.4668E+6	2.6052E+2	5.6486E+2	1.4037E-1
5.0119E+6	2.4390E+2	5.1640E+2	1.4399E-1
5.6234E+6	2.2873E+2	4.7185E+2	1.4762E-1
6.3096E+6	2.1505E+2	4.3122E+2	1.5137E-1
7.0795E+6	2.0278E+2	3.9492E+2	1.5554E-1
7.9433E+6	1.9024E+2	3.6100E+2	1.5953E-1
8.9125E+6	1.8000E+2	3.2859E+2	1.6292E-1
1.0000E+7	1.7500E+2	3.0043E+2	1.6714E-1
1.0892E+7	1.7000E+2	2.8879E+2	1.7500E-1
1.1943E+7	1.6500E+2	2.8063E+2	1.8646E-1
1.3095E+7	1.6211E+2	2.6606E+2	1.9384E-1
1.4359E+7	1.6067E+2	2.5176E+2	2.0111E-1
1.5744E+7	1.4994E+2	2.4146E+2	2.1149E-1
1.7263E+7	1.4296E+2	2.1702E+2	2.0843E-1
1.8929E+7	1.3515E+2	2.0272E+2	2.1347E-1
2.0755E+7	1.2984E+2	1.9199E+2	2.2169E-1
2.2757E+7	1.2283E+2	1.7926E+2	2.2696E-1
2.4953E+7	1.1588E+2	1.6969E+2	2.3556E-1
2.7360E+7	1.1181E+2	1.5906E+2	2.4212E-1
3.0000E+7	1.0669E+2	1.4773E+2	2.4656E-1
3.2894E+7	1.0159E+2	1.3981E+2	2.5586E-1
3.6068E+7	9.7782E+1	1.3045E+2	2.6176E-1
3.9548E+7	9.3430E+1	1.2348E+2	2.7166E-1
4.3363E+7	8.9359E+1	1.1655E+2	2.8116E-1
4.7547E+7	8.5291E+1	1.0888E+2	2.8800E-1
5.2134E+7	8.1213E+1	1.0250E+2	2.9728E-1
5.7164E+7	7.8014E+1	9.6140E+1	3.0574E-1
6.2679E+7	7.4269E+1	9.0313E+1	3.1492E-1
6.8726E+7	7.1286E+1	8.4721E+1	3.2392E-1
7.5357E+7	6.8165E+1	7.9321E+1	3.3253E-1
8.2627E+7	6.5325E+1	7.4355E+1	3.4179E-1
9.0599E+7	6.2886E+1	6.9483E+1	3.5021E-1
9.9339E+7	6.0423E+1	6.5192E+1	3.6028E-1
1.0892E+8	5.8642E+1	6.1228E+1	3.7102E-1
1.1943E+8	5.6432E+1	5.7485E+1	3.8195E-1
1.3095E+8	5.4539E+1	5.3913E+1	3.9278E-1
1.4359E+8	5.2665E+1	5.0648E+1	4.0459E-1
1.5744E+8	5.1073E+1	4.7261E+1	4.1396E-1
1.7263E+8	4.9700E+1	4.3997E+1	4.2255E-1
1.8929E+8	4.8408E+1	4.1220E+1	4.3407E-1
2.0755E+8	4.6950E+1	3.8494E+1	4.4447E-1
2.2757E+8	4.5570E+1	3.5959E+1	4.5526E-1
2.4953E+8	4.4545E+1	3.3536E+1	4.6555E-1
2.7360E+8	4.3642E+1	3.1291E+1	4.7629E-1
3.0000E+8	4.2808E+1	2.9229E+1	4.8783E-1
3.2894E+8	4.1852E+1	2.7249E+1	4.9865E-1
3.6068E+8	4.1137E+1	2.5354E+1	5.0874E-1
3.9548E+8	4.0445E+1	2.3763E+1	5.2282E-1
4.3363E+8	3.9838E+1	2.2133E+1	5.3394E-1
4.7547E+8	3.9516E+1	2.0577E+1	5.4431E-1
5.2134E+8	3.8912E+1	1.9560E+1	5.6729E-1
5.7164E+8	3.8319E+1	1.8282E+1	5.8139E-1
6.2679E+8	3.7857E+1	1.7103E+1	5.9638E-1
6.8726E+8	3.7758E+1	1.6277E+1	6.2235E-1
7.5357E+8	3.7204E+1	1.4874E+1	6.2357E-1
8.2627E+8	3.6864E+1	1.4718E+1	6.7656E-1
9.0599E+8	3.7844E+1	1.3170E+1	6.6382E-1
