Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
2.6681E+9	1.7340E+1	4.5250E+0	6.7165E-1
2.8059E+9	1.7256E+1	4.5131E+0	7.0448E-1
2.9508E+9	1.7214E+1	4.5275E+0	7.4324E-1
3.1032E+9	1.7148E+1	4.5847E+0	7.9149E-1
3.2635E+9	1.7047E+1	4.6139E+0	8.3767E-1
3.4320E+9	1.6982E+1	4.6414E+0	8.8619E-1
3.6093E+9	1.6874E+1	4.6615E+0	9.3601E-1
3.7957E+9	1.6850E+1	4.7272E+0	9.9821E-1
3.9917E+9	1.6702E+1	4.7996E+0	1.0659E+0
4.1979E+9	1.6632E+1	4.9119E+0	1.1471E+0
4.4147E+9	1.6535E+1	4.9498E+0	1.2157E+0
4.6427E+9	1.6464E+1	5.1347E+0	1.3262E+0
4.8825E+9	1.6347E+1	5.2496E+0	1.4259E+0
5.1347E+9	1.6213E+1	5.3492E+0	1.5280E+0
5.3999E+9	1.6026E+1	5.4800E+0	1.6463E+0
5.6788E+9	1.5868E+1	5.6240E+0	1.7768E+0
5.9721E+9	1.5663E+1	5.6856E+0	1.8890E+0
6.2806E+9	1.5481E+1	5.8396E+0	2.0404E+0
6.6050E+9	1.5293E+1	5.9624E+0	2.1909E+0
6.9461E+9	1.5054E+1	6.0606E+0	2.3420E+0
7.3049E+9	1.4842E+1	6.1885E+0	2.5149E+0
7.6822E+9	1.4584E+1	6.2812E+0	2.6845E+0
8.0789E+9	1.4366E+1	6.4056E+0	2.8790E+0
8.4962E+9	1.4080E+1	6.4920E+0	3.0686E+0
8.9350E+9	1.3812E+1	6.5602E+0	3.2609E+0
9.3965E+9	1.3482E+1	6.6241E+0	3.4628E+0
9.8818E+9	1.3182E+1	6.6718E+0	3.6679E+0
1.0392E+10	1.2926E+1	6.6960E+0	3.8712E+0
1.0929E+10	1.2637E+1	6.7004E+0	4.0739E+0
1.1493E+10	1.2333E+1	6.7643E+0	4.3252E+0
1.2087E+10	1.2112E+1	6.7034E+0	4.5076E+0
1.2711E+10	1.1816E+1	6.7462E+0	4.7707E+0
1.3368E+10	1.1493E+1	6.7210E+0	4.9984E+0
1.4058E+10	1.1234E+1	6.6849E+0	5.2283E+0
1.4784E+10	1.0980E+1	6.6342E+0	5.4566E+0
1.5548E+10	1.0689E+1	6.5834E+0	5.6945E+0
1.6351E+10	1.0492E+1	6.5784E+0	5.9840E+0
1.7196E+10	1.0244E+1	6.5745E+0	6.2894E+0
1.8084E+10	9.9907E+0	6.5109E+0	6.5502E+0
1.9018E+10	9.7131E+0	6.4448E+0	6.8186E+0
2.0000E+10	9.5093E+0	6.4026E+0	7.1238E+0
